CompanyName,Ldcp,Open,High,Low,Current,Change,Volume
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AL-Ghazi Tractors,427.44,450.0,470.18,445.0,470.18,42.74,"47,637"
Atlas Honda Ltd,"1,145.83",1147.0,1169.9,1147.0,1154.0,6.86,"5,100"
Dewan Motors,36.34,36.02,36.5,35.11,35.5,-0.8,"1,135,054"
Ghandhara Automobile,472.47,470.51,474.0,447.0,455.0,-18.35,"1,102,556"
Ghandhara Ind.,686.26,689.98,689.98,665.0,668.0,-20.21,"308,354"
Hinopak Motor,385.74,385.74,419.0,375.0,388.0,13.6,"33,944"
Honda Atlas Cars,298.97,300.0,300.0,291.31,292.01,-6.64,"548,428"
Indus Motor Co.XD,"1,926.14",1948.49,1948.49,1910.0,1923.0,-4.76,"3,822"
Millat Tractors,580.79,583.0,599.98,578.0,586.0,6.83,"238,465"
Sazgar Engineering,"1,299.82",1290.02,1324.99,1290.0,1297.0,0.33,"322,858"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agriautos Ind.,110.69,112.0,112.5,107.01,108.1,-2.32,"29,300"
Atlas Battery,277.67,278.51,281.99,270.0,274.55,-2.66,"15,855"
Bal.Wheels,133.02,136.0,136.0,133.4,134.0,1.42,"3,313"
Bela Automotive,138.21,150.0,150.0,128.0,135.84,-6.47,"7,168"
Dewan Auto Engg,28.85,29.94,29.97,27.75,28.0,-0.68,"5,729"
Exide (PAK),826.25,828.0,828.0,811.0,818.8,-8.92,"3,796"
Ghandhara Tyre,37.81,38.1,38.5,37.6,38.03,0.22,"174,627"
Loads Limited,14.52,14.56,14.85,14.11,14.2,-0.34,"1,759,342"
Panther Tyres Ltd.,38.50,39.0,39.45,38.25,38.9,0.26,"13,105"
Thal Limited,371.91,372.0,379.75,369.01,371.01,6.51,"8,934"
Treet Battery Ltd.,11.47,11.6,11.84,11.55,11.61,0.14,"917,573"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
EMCO Industries,41.75,37.58,42.0,37.58,40.01,-0.28,"1,263"
Fast Cables Ltd.,24.16,24.74,24.74,23.56,23.83,-0.44,"4,661,771"
Pak Elektron,45.34,45.34,45.7,44.1,44.75,-0.67,"3,306,103"
Pakistan Cables-,150.99,154.99,154.99,150.0,151.95,0.49,"28,085"
Siemens Pak.,"1,501.38",1508.99,1516.0,1508.99,1516.0,14.62,"1,661"
Waves Corp Ltd.,7.54,7.6,7.62,7.42,7.48,-0.07,"2,396,218"
Waves Home App,9.14,9.18,9.28,8.95,9.2,-0.09,"3,596,460"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Attock Cement,321.85,324.44,333.0,315.0,320.5,-0.99,"629,451"
Bestway Cement,403.84,403.84,408.0,402.0,404.0,-0.54,"9,649"
Cherat Cement,267.16,270.0,270.96,263.0,264.5,-3.46,"182,313"
D.G.K.Cement,147.33,147.33,147.89,144.26,145.5,-2.35,"3,855,199"
Dadabhoy Cement,4.84,4.96,4.99,4.5,4.65,-0.19,"74,353"
Dandot Cement,13.63,14.4,14.4,13.75,14.35,0.59,"24,901"
Dewan Cement,10.37,10.55,10.59,10.26,10.5,0.03,"1,506,724"
Fauji Cement,47.94,48.0,48.33,46.7,47.0,-0.83,"4,058,330"
Fecto Cement,72.31,72.99,73.99,72.07,73.45,0.65,"56,297"
Flying Cement,50.67,49.85,51.25,46.7,47.12,-3.49,"1,689,318"
Gharibwal Cement,41.07,41.15,43.0,40.66,42.44,1.35,"749,516"
Kohat Cement,386.32,389.9,389.97,381.1,388.0,-0.54,"40,745"
Lucky Cement,342.37,345.0,347.0,335.1,337.5,-4.22,"1,389,149"
Maple Leaf,74.78,74.67,75.4,73.45,73.7,-0.99,"4,157,357"
Pioneer Cement,217.45,217.98,219.62,213.0,214.5,-3.04,"60,224"
Power Cem(Pref),17.75,19.5,19.5,17.85,17.85,0.1,"3,600"
Power Cement,14.85,14.85,14.9,14.45,14.46,-0.34,"2,780,068"
Safe Mix Con.Ltd,17.30,17.45,17.45,16.65,17.1,-0.27,"8,818"
Thatta Cement,190.63,191.0,192.55,181.3,186.1,-2.48,"672,971"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Archroma Pak,410.00,419.98,420.0,410.99,412.95,1.61,765
Bawany Air Pro(DEF.),44.17,48.59,48.59,47.9,48.59,4.42,"663,472"
Berger Paints,97.39,100.0,101.24,97.03,99.66,2.57,"81,269"
Biafo IndustriesXD,181.27,183.75,191.95,183.0,184.0,2.6,"127,839"
Buxly Paints,112.38,110.1,115.98,110.05,115.5,,110
Data Agro,86.45,86.5,88.99,86.45,88.97,2.42,589
Descon Oxychem,28.97,29.5,31.87,29.5,31.87,2.9,"4,490,122"
Dynea Pakistan,224.32,221.07,225.0,218.0,224.0,-2.58,"6,998"
Engro Poly (Pref),12.00,12.0,12.13,12.0,12.0,,"3,654"
Engro Polymer,33.14,33.55,34.89,33.2,34.6,1.28,"3,538,203"
Ghani Chemical,19.44,19.5,19.63,19.01,19.59,-0.01,"5,793,084"
Ghani Chemworld,9.62,9.62,10.62,9.06,10.62,1.0,"7,904,089"
Ghani Glo Hol,13.72,13.85,14.4,13.66,14.33,0.57,"3,926,612"
Ittehad Chemicals,73.08,73.13,75.0,72.99,73.0,-0.08,"19,959"
